Date,Open,High,Low,Close,Volume,Open Interest
2000-03-13,9500.0,9540.0,9492.0,9527.0,2510.0,56476.0
2000-03-10,9403.0,9426.0,9385.0,9421.0,10237.0,61065.0
2000-03-09,9390.0,9420.0,9375.0,9390.0,17996.0,64330.0
2000-03-08,9342.0,9375.0,9336.0,9351.0,21363.0,68994.0
2000-03-07,9324.0,9460.0,9308.0,9434.0,17220.0,82958.0
2000-03-06,9328.0,9331.0,9287.0,9310.0,15943.0,88865.0
2000-03-03,9284.0,9317.0,9273.0,9285.0,22500.0,95376.0
2000-03-02,9336.0,9343.0,9277.0,9300.0,22668.0,100455.0
2000-03-01,9256.0,9410.0,9250.0,9356.0,50735.0,103795.0
2000-02-29,9114.0,9147.0,9098.0,9100.0,13259.0,120227.0
2000-02-28,9187.0,9215.0,9141.0,9173.0,21733.0,122048.0
2000-02-25,9040.0,9102.0,9005.0,9100.0,12714.0,123835.0
2000-02-24,9056.0,9067.0,9016.0,9028.0,8040.0,121421.0
2000-02-23,9034.0,9043.0,9007.0,9011.0,10741.0,121217.0
2000-02-22,9047.0,9075.0,9030.0,9061.0,13115.0,124864.0
2000-02-18,9053.0,9063.0,9018.0,9044.0,10897.0,125908.0
2000-02-17,9100.0,9121.0,9066.0,9076.0,15954.0,123716.0
2000-02-16,9199.0,9200.0,9156.0,9178.0,9154.0,121466.0
2000-02-15,9225.0,9259.0,9199.0,9204.0,14545.0,122465.0
2000-02-14,9273.0,9275.0,9226.0,9233.0,10768.0,123661.0
2000-02-11,9160.0,9233.0,9152.0,9228.0,12649.0,122755.0
2000-02-10,9257.0,9265.0,9216.0,9225.0,9974.0,123619.0
2000-02-09,9227.0,9254.0,9187.0,9208.0,13267.0,122333.0
2000-02-08,9229.0,9238.0,9163.0,9194.0,10997.0,118010.0
2000-02-07,9255.0,9291.0,9237.0,9243.0,15664.0,116757.0
2000-02-04,9330.0,9389.0,9317.0,9375.0,13389.0,114803.0
2000-02-03,9262.0,9395.0,9252.0,9339.0,17359.0,114455.0
2000-02-02,9278.0,9312.0,9267.0,9299.0,12930.0,112909.0
2000-02-01,9343.0,9365.0,9325.0,9335.0,8990.0,110742.0
2000-01-31,9423.0,9442.0,9360.0,9368.0,14653.0,110576.0
2000-01-28,9555.0,9583.0,9385.0,9405.0,40693.0,110026.0
