Date,Open,High,Low,Close,Volume,Open Interest
2015-09-14,8298.0,8335.0,8276.0,8328.0,2889.0,116970.0
2015-09-11,8286.0,8308.0,8267.0,8292.0,40259.0,131060.0
2015-09-10,8308.0,8336.0,8238.0,8292.0,223728.0,174821.0
2015-09-09,8342.0,8344.0,8251.0,8292.0,240460.0,225098.0
2015-09-08,8408.0,8418.0,8318.0,8336.0,268533.0,248588.0
2015-09-04,8328.0,8433.0,8320.0,8408.0,231310.0,259130.0
2015-09-03,8309.0,8360.0,8285.0,8335.0,145099.0,259113.0
2015-09-02,8376.0,8378.0,8302.0,8318.0,185665.0,263826.0
2015-09-01,8248.0,8386.0,8248.0,8349.0,234667.0,259269.0
2015-08-31,8226.0,8274.0,8224.0,8258.0,114762.0,257836.0
2015-08-28,8257.0,8290.0,8214.0,8240.0,150674.0,255451.0
2015-08-27,8321.0,8350.0,8238.0,8291.0,203999.0,253982.0
2015-08-26,8414.0,8444.0,8333.0,8374.0,276057.0,253432.0
2015-08-25,8439.0,8459.0,8308.0,8354.0,309329.0,255149.0
2015-08-24,8203.0,8592.0,8196.0,8446.0,857206.0,259288.0
2015-08-21,8106.0,8212.0,8098.0,8192.0,260736.0,251943.0
2015-08-20,8076.0,8111.0,8056.0,8102.0,148923.0,249598.0
2015-08-19,8043.0,8086.0,8036.0,8084.0,158919.0,247316.0
2015-08-18,8040.0,8054.0,8033.0,8041.0,83823.0,249131.0
2015-08-17,8049.0,8052.0,8029.0,8039.0,88753.0,249405.0
2015-08-14,8042.0,8063.0,8032.0,8051.0,72840.0,248761.0
2015-08-13,8055.0,8062.0,8026.0,8038.0,103038.0,251434.0
2015-08-12,7994.0,8081.0,7984.0,8056.0,191446.0,260592.0
2015-08-11,8031.0,8034.0,7989.0,7992.0,133947.0,257934.0
2015-08-10,8054.0,8054.0,8017.0,8028.0,92980.0,260810.0
2015-08-07,8021.0,8061.0,7998.0,8058.0,136510.0,268419.0
2015-08-06,8012.0,8032.0,8004.0,8022.0,90399.0,264088.0
2015-08-05,8044.0,8066.0,8002.0,8011.0,144082.0,250419.0
2015-08-04,8067.0,8081.0,8041.0,8046.0,95765.0,247226.0
